id,created_at,updated_at,flight_identifier,flt_num,scheduled_origin_gate,scheduled_destination_gate,out_gmt,in_gmt,off_gmt,on_gmt,destination,origin,destination_full_name,origin_full_name
291480,2019-09-19 20:36:44,2019-09-19 20:36:44,b4131042-7935-486f-bbaa-131819a5b356,2594,1,Any,2019-02-09 19:51:46,2019-02-09 21:16:09,2019-02-09 19:58:59,2019-02-09 21:10:45,AGP,SDR,Malaga,Santander
291479,2019-09-19 20:36:44,2019-09-19 20:36:44,b3f2f131-eb4f-47d1-a58e-a72757cd9b75,8,B25,Any,2019-02-09 19:57:55,2019-02-10 01:22:36,2019-02-09 20:14:23,2019-02-10 01:18:33,AUH,FRA,Abu Dhabi Intl,Frankfurt/main
291482,2019-09-19 20:36:44,2019-09-19 20:36:44,c53186ca-dd05-4d4d-bb14-cb3e4eea96d3,1606,A2,C37,2019-02-09 20:01:58,2019-02-09 22:00:00,2019-02-09 20:13:51,2019-02-09 21:54:19,ATL,OMA,Hartsfield - Jackson Atlanta I,Eppley
291481,2019-09-19 20:36:44,2019-09-19 20:36:44,b715fbfc-6187-4ded-8ff6-7f2ff28443cb,2180,2,Any,2019-02-09 19:56:49,2019-02-10 00:55:17,2019-02-09 20:04:38,2019-02-10 00:49:37,PVR,YQQ,Lic Gustavo Diaz Ordaz Intl,Comox
291513,2019-09-19 20:36:44,2019-09-19 20:36:44,5240b1f2-1bda-476e-bf73-25cb8c599bf5,995,C33,Any,2019-02-09 20:07:09,2019-02-10 04:41:33,2019-02-09 20:23:07,2019-02-10 04:35:48,PEK,CPH,Beijing Capital,Kastrup
291514,2019-09-19 20:36:44,2019-09-19 20:36:44,5ee72821-25e7-46ad-b004-c2ee3a7b60d2,1962,Any,A35,2019-02-09 19:59:01,2019-02-10 00:17:35,2019-02-09 20:11:15,2019-02-10 00:09:49,DEN,CZM,Denver Intl,Cozumel Intl
291515,2019-09-19 20:36:44,2019-09-19 20:36:44,61f18f78-5262-4a06-86c1-772340914575,568,B09,A38,2019-02-09 19:53:54,2019-02-10 00:34:53,2019-02-09 20:11:38,2019-02-10 00:28:50,DTW,PVR,Detroit Metro Wayne Co,Lic Gustavo Diaz Ordaz Intl
291483,2019-09-19 20:36:44,2019-09-19 20:36:44,c837372a-d204-4382-9c0b-fdb32d343b2e,328,B5,Any,2019-02-09 20:22:22,2019-02-09 21:21:04,2019-02-09 20:35:07,2019-02-09 21:16:03,HER,ATH,,Eleftherios Venizelos Intl
291516,2019-09-19 20:36:44,2019-09-19 20:36:44,62836915-d5dd-4c52-a5ca-0a855db67f29,1618,C75,Any,2019-02-09 20:09:29,2019-02-09 23:46:27,2019-02-09 20:29:30,2019-02-09 23:40:56,TPA,YUL,Tampa Intl,Montreal/pierre-elliott-trudea

